,nama,lat,lon,wilayah,sumber,alamat_asli
26,Two Cents,-6.905489,107.6206005,Kabupaten Bandung,cafe,"Two Cents, 2, Jalan Cimanuk, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
27,Little White Cafe,-6.9291255,107.6196615,Kabupaten Bandung,cafe,"Little White Cafe, 11A, Jalan Lodaya, Malabar, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40263, Indonesia"
28,Vanilla Kitchen & Wine,-6.9036224,107.6209866,Kabupaten Bandung,cafe,"Vanilla Kitchen & Wine, 11, Jalan Cimanuk, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40122, Indonesia"
29,Kopi Progo,-6.9046421,107.618747,Kabupaten Bandung,cafe,"Kopi Progo, 22, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
30,Giggle Box Cafe And Resto,-6.9045688,107.6197076,Kabupaten Bandung,cafe,"Giggle Box Cafe And Resto, 33, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
31,Southville,-6.9286472,107.5868038,Kabupaten Bandung,cafe,"Southville, 249, Jalan Peta, Sukaasih, Bojongloa Kaler, Kota Bandung, Jawa Barat, Jawa, 40231, Indonesia"
32,Wiki Koffie,-6.9160557,107.6091519,Kabupaten Bandung,cafe,"Wiki Koffie, 90, Jalan Lembong, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
33,Everjoy Coffee and Cafe,-6.9052965,107.6138859,Kabupaten Bandung,cafe,"Everjoy Coffee and Cafe, 3, Jalan Bahureksa, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
34,Chingu Cafe,-6.9010768,107.6097423,Kabupaten Bandung,cafe,"Chingu Cafe, 10, Jalan Sawunggaling, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
35,Lekker 188 Coffee & Foodhub,-6.9225073,107.6175479,Kabupaten Bandung,coffee_shop,"Lekker 188 Coffee & Foodhub, 188, Jalan Sunda, Burangrang, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40242, Indonesia"
36,Kupu Bistro,-6.9025783,107.6097557,Kabupaten Bandung,cafe,"Kupu Bistro, 1, Jalan Rangga Gadang, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
37,ETC Etcetera,-6.9024057,107.6143369,Kabupaten Bandung,cafe,"ETC Etcetera, 40, Jalan Trunojoyo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
38,Oldbens Cafe,-6.900332,107.6136806,Kabupaten Bandung,cafe,"Oldbens Cafe, 7, Jalan Diponegoro, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
39,Sunny Side Coffee,-6.9153446,107.6531264,Kabupaten Bandung,coffee_shop,"Sunny Side Coffee, 66, Jalan Purwakarta, Antapani Kidul, Antapani, Kota Bandung, Jawa, 40291, Indonesia"
40,Poffstory Coffee Brewer,-6.9264219,107.6196252,Kabupaten Bandung,coffee_shop,"Poffstory Coffee Brewer, 2, Jalan Burangrang, Karees Kulon, Malabar, Lengkong, Kota Bandung, Jawa, 40242, Indonesia"
41,Ludwick Café,-6.872527,107.5932983,Kabupaten Bandung,cafe,"Ludwick Café, 11B, Jalan Budi Luhur 5, Gegerkalong, Sukajadi, Kota Bandung, Jawa, 40153, Indonesia"
42,Uncle's Storage,-6.9204024,107.6130499,Kabupaten Bandung,cafe,"Uncle's Storage, 30, Jalan Naripan, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
43,Monsoon Cafe,-6.884257,107.5968352,Kabupaten Bandung,cafe,Alamat tidak ditemukan
44,Hoppers,-6.8997615,107.6104078,Kabupaten Bandung,cafe,"Hoppers, Jalan Rangga Malela, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
45,Kedai Persib,-6.8996949,107.610294,Kabupaten Bandung,cafe,"Kedai Persib, Jalan Sulanjana, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
46,Coffee Time,-6.963849,107.5631391,Kabupaten Bandung,cafe,Alamat tidak ditemukan
47,Gudang Kopi,-6.9617471,107.5591707,Kabupaten Bandung,cafe,Alamat tidak ditemukan
48,Ngopi Doeloe,-6.9072065,107.5668787,Kabupaten Bandung,cafe,"Ngopi Doeloe, 51, Jalan Jend. H. Amir Machmud, Cijerah, Cibeureum, Kota Bandung, Jawa Barat, Jawa, 40184, Indonesia"
49,Kedai Pantai Timur,-6.8979361,107.592867,Kabupaten Bandung,cafe,Alamat tidak ditemukan
50,Take Ichi Japanese Cafe,-6.8851859,107.5815401,Kabupaten Bandung,cafe,"Take Ichi Japanese Cafe, 84A, Jalan Prof. Dr. Surya Soemantri, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
51,Sugar Rush,-6.8891532,107.582279,Kabupaten Bandung,cafe,"Sugar Rush, 36D, Jalan Babakan Jeruk 1, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
52,Otten Inn & Viit Cafe,-6.90137,107.5990705,Kabupaten Bandung,cafe,"Otten Inn & Viit Cafe, Jalan Doktor Louis Otten, Pasirkaliki, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40173, Indonesia"
53,Milan Cafe,-6.9309098,107.6262291,Kabupaten Bandung,cafe,"Milan Cafe, 91, Jalan Pelajar Pejuang 45, Lingkar Selatan, Lengkong, Kota Bandung, Jawa, 40263, Indonesia"
54,Magic Wok Tavern,-6.9120068,107.5960795,Kabupaten Bandung,cafe,"Magic Wok Tavern, #16, Jalan Kesatriaan, Arjuna, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40172, Indonesia"
55,Pokatiam,-6.9109614,107.5979568,Kabupaten Bandung,cafe,"Pokatiam, 65, Jalan HOS. Cokroaminoto, Pasirkaliki, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40172, Indonesia"
56,Yoss Coffe,-6.917344,107.5983109,Kabupaten Bandung,cafe,"Yoss Coffe, 8B, Jalan Gardujati, Kebon Jeruk, Andir, Kota Bandung, Jawa Barat, Jawa, 40181, Indonesia"
57,Kedai Kopi Bara,-6.9210534,107.5946675,Kabupaten Bandung,coffee_shop,Alamat tidak ditemukan
58,DAGO COFFEE,-6.9049786,107.6104791,Kabupaten Bandung,cafe,"DAGO COFFEE, 19, Jalan Ir. H. Djuanda, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
59,SWG COFFEE,-6.9025596,107.6104052,Kabupaten Bandung,cafe,"SWG COFFEE, 10, Jalan Rangga Gadang, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
60,Cafe Pohon Durian Bandung,-6.9023283,107.6102359,Kabupaten Bandung,cafe,"Cafe Pohon Durian Bandung, 2, Jalan Sawunggaling, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
61,Caffe Bene,-6.8878993,107.6132494,Kabupaten Bandung,coffee_shop,"Caffe Bene, 155, Jalan Ir. H. Djuanda, Lebak Siliwangi, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
62,Starbucks,-6.8861336,107.5816203,Kabupaten Bandung,cafe,"Starbucks, 76C, Jalan Prof. Dr. Surya Soemantri, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
63,833R Store,-6.9606074,107.5566158,Kabupaten Bandung,cafe,"833R Store, Jalan Taman Kopo Indah 3, Rahayu, Kabupaten Bandung, Jawa Barat, Jawa, 40218, Indonesia"
64,Buthcer's Bill Cafe & Resto,-6.9095825,107.6273878,Kabupaten Bandung,cafe,"Buthcer's Bill Cafe & Resto, 165, Jalan Cendana, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
65,Chinook Café and Resto,-6.9119046,107.628106,Kabupaten Bandung,cafe,"Chinook Café and Resto, 191, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
66,Toko Kue & Cafe Bawean,-6.9123755,107.6282628,Kabupaten Bandung,cafe,"Toko Kue & Cafe Bawean, Jalan L.L. RE. Martadinata, Merdeka, Sumur Bandung, Kota Bandung, Jawa, 40114, Indonesia"
67,Gotcha Ice Cream,-6.8958583,107.6348705,Kabupaten Bandung,cafe,"Gotcha Ice Cream, Jalan Pahlawan, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
68,Koffiechino,-6.8946071,107.6346631,Kabupaten Bandung,cafe,"Koffiechino, #85, Jalan Pahlawan, Sukaluyu, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
69,Trends Cafe & Resto,-6.8940138,107.6348136,Kabupaten Bandung,cafe,"Trends Cafe & Resto, 89, Jalan Pahlawan, Sukaluyu, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
70,Gaza Mediterranean,-6.8943992,107.635277,Kabupaten Bandung,cafe,"Gaza Mediterranean, 72, Jalan Pahlawan, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
71,TOASTCREAM Toastbox & Ice Cream Bar,-6.8918442,107.6165405,Kabupaten Bandung,cafe,"TOASTCREAM Toastbox & Ice Cream Bar, 15, Jalan Teuku Umar, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
72,Hangout Cafe,-6.8949494,107.6164681,Kabupaten Bandung,cafe,"Hangout Cafe, 26, Jalan Hasanudin, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
73,Starbucks,-6.8960232,107.6168462,Kabupaten Bandung,cafe,"Starbucks, 42, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
74,Kedai Kecil,-6.8961805,107.6166992,Kabupaten Bandung,cafe,"Kedai Kecil, 36, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
75,B'Owl!,-6.8969548,107.6156562,Kabupaten Bandung,cafe,"B'Owl!, 26B, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
76,Blackjack Coffee,-6.9189145,107.5889524,Kabupaten Bandung,cafe,"Blackjack Coffee, Jalan Gabus, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40182, Indonesia"
77,Kaminumasa,-6.9769183,107.6326245,Kabupaten Bandung,cafe,"Kaminumasa, 88, Jalan Sukabirus, Sukapura, Dayeuhkolot, Kabupaten Bandung, Jawa, 40288, Indonesia"
78,Chillax Coffee And Tea,-6.8975816,107.6437749,Kabupaten Bandung,cafe,"Chillax Coffee And Tea, 210, Jalan Cikutra, Sukapada, Cibeunying Kidul, Kota Bandung, Jawa, 40124, Indonesia"
79,Bober,-6.8869859,107.6149061,Kabupaten Bandung,cafe,"Bober, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
80,18 Hrs Cafe,-6.8710748,107.5936203,Kabupaten Bandung,cafe,"18 Hrs Cafe, 103, Jalan Dr. Setiabudi, Gegerkalong, Sukajadi, Kota Bandung, Jawa, 40153, Indonesia"
81,Soda Resto,-6.9063815,107.6103688,Kabupaten Bandung,cafe,Alamat tidak ditemukan
82,Starbucks,-6.9169485,107.6091118,Kabupaten Bandung,cafe,Alamat tidak ditemukan
83,Bober,-6.907337,107.6232794,Kabupaten Bandung,cafe,"Bober, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
84,"Please, Please, Please",-6.9045305,107.6199423,Kabupaten Bandung,cafe,Alamat tidak ditemukan
85,180 Coffee and Music,-6.8938137,107.6123099,Kabupaten Bandung,cafe,"180 Coffee and Music, Jalan Ganesha, Lebak Siliwangi, Coblong, Kota Bandung, Jawa, 40132, Indonesia"
86,Le Delice Cafe And Bakery,-6.9248412,107.621374,Kabupaten Bandung,cafe,"Le Delice Cafe And Bakery, Jalan Guntur, Karees Kulon, Malabar, Lengkong, Kota Bandung, Jawa, 40262, Indonesia"
87,Nanny's Pavillon,-6.9078484,107.6237768,Kabupaten Bandung,cafe,"Nanny's Pavillon, 125, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
88,Ujenk Gemi Bar,-6.9070236,107.6057856,Kabupaten Bandung,cafe,"Ujenk Gemi Bar, 26, Jalan Pajajaran, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40117, Indonesia"
89,Lacamera Coffee,-6.9206091,107.6154775,Kabupaten Bandung,cafe,"Lacamera Coffee, 79, Jalan Naripan, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
90,N Cafe,-6.8767124,107.5728814,Kabupaten Bandung,cafe,"N Cafe, Jalan Villa Duta, Ciwaruga, Bandung Barat, Jawa Barat, Jawa, 40515, Indonesia"
91,Marfee,-6.9063556,107.6143851,Kabupaten Bandung,coffee_shop,"Marfee, Jalan L.L. RE. Martadinata, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40117, Indonesia"
92,Forest Cafe,-6.8577375,107.6289779,Kabupaten Bandung,cafe,"Forest Cafe, Jalan Pakar Kulon, Kabupaten Bandung, Jawa, 40119, Indonesia"
93,Loco Chiks and Chill,-6.930728,107.6219372,Kabupaten Bandung,cafe,"Loco Chiks and Chill, Jalan Lodaya, Malabar, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40263, Indonesia"
94,Brussels Spring,-6.9186286,107.6141221,Kabupaten Bandung,cafe,"Brussels Spring, No. 7, Jalan Veteran, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
95,sfroastery,-6.9161264,107.5887671,Kabupaten Bandung,cafe,"sfroastery, Jalan Rajawali Timur, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40182, Indonesia"
96,Armor Coffee,-6.8581757,107.6323803,Kabupaten Bandung,cafe,"Armor Coffee, Jalan Bukit Pakar Utara, Ciburial, Kabupaten Bandung, Jawa, 40119, Indonesia"
97,Aviator Coffee Camp,-6.8616646,107.6484767,Kabupaten Bandung,cafe,"Aviator Coffee Camp, 28, Jalan Raya Resort, Mekarsaluyu, Kabupaten Bandung, Jawa, 40198, Indonesia"
98,The People's Cafe,-6.8901174,107.5960789,Kabupaten Bandung,cafe,"The People's Cafe, Jalan Sukaresik 1, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
99,Starbucks Reserve,-6.8901104,107.5965612,Kabupaten Bandung,cafe,"Starbucks Reserve, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
